segment_id,celex,node_id,tipo,identificatore,llm_status,evidence,provisions_raw,lamf_L1,lamf_L2,lamf_L3,lamf_L4,entropy,dominant_lamf,articolo_id
32020R1298__1_p3,32020R1298,32020R1298,articolo,1_p3,ok,"[{""testo"": ""11. European Joint Undertaking for ITER: Council Decision (Euratom) 2007/198 of 27 March 2007 establishing the European Joint Undertaking for ITER and the Development of Fusion Energy and conferrin..."", ""layer"": ""L1"", ""motivo"": ""Defines institutional framework and establishes key legal entity""}]","[{""start"": 1, ""end"": 40, ""label"": ""level_1"", ""reason"": ""Defines institutional framework and establishes key legal entity""}]",100.0,0.0,0.0,0.0,0.0,L1,1_p3
32020R1298__1_p2,32020R1298,32020R1298,articolo,1_p2,ok,"[{""testo"": ""10. Preparatory Action on Defence Research: Regulation (EU, Euratom) 2018/1046 of the European Parliament and of the Council of 18 July 2018 on the financial rules applicable to the general budget ..."", ""layer"": ""L1"", ""motivo"": ""Defines scope and references key legislative framework""}]","[{""start"": 1, ""end"": 85, ""label"": ""level_1"", ""reason"": ""Defines scope and references key legislative framework""}]",100.0,0.0,0.0,0.0,0.0,L1,1_p2
32010R1227__2,32010R1227,32010R1227,articolo,2,ok,"[{""testo"": ""Article 2 This Regulation shall enter into force on the 20th day following its publication in the Official Journal of the European Union ."", ""layer"": ""L1"", ""motivo"": ""Sets the date when the regulation enters into force (core legal effect)""}]","[{""start"": 1, ""end"": 24, ""label"": ""level_1"", ""reason"": ""Sets the date when the regulation enters into force (core legal effect)""}]",100.0,0.0,0.0,0.0,0.0,L1,2
32010R1227__1,32010R1227,32010R1227,articolo,1,ok,"[{""testo"": ""Article 1 Regulation (EC) No 1055/2008 is amended as follows: 1. Article 2 is replaced by the following:"", ""layer"": ""L2"", ""motivo"": ""Specifies detailed procedural rule for quality report submission deadline""}, {""testo"": ""‘Member States shall supply their quality report not later than 31 May every year.’; 2. the Annex is replaced by the Annex to this Regulation."", ""layer"": ""L2"", ""motivo"": ""Specifies operational rule replacing the Annex with a new Annex""}]","[{""start"": 1, ""end"": 18, ""label"": ""level_2"", ""reason"": ""Specifies detailed procedural rule for quality report submission deadline""}, {""start"": 19, ""end"": 43, ""label"": ""level_2"", ""reason"": ""Specifies operational rule replacing the Annex with a new Annex""}]",0.0,100.0,0.0,0.0,0.0,L2,1
32020R1298__1_p1,32020R1298,32020R1298,articolo,1_p1,ok,"[{""testo"": ""Article 1 The Annex to Regulation (EU) 2019/452 is amended as follows: (1) Point 3 is replaced by the following: ‘3. Horizon 2020 including research and development programmes pursuant to Article 1..."", ""layer"": ""L1"", ""motivo"": ""Defines scope and key elements of amended Annex provisions""}, {""testo"": ""(2) Point 8 is replaced by the following: ‘8. Permanent structured cooperation (PESCO): Council Decision (CFSP) 2018/340 of 6 March 2018 establishing the list of projects to be developed under PESC..."", ""layer"": ""L1"", ""motivo"": ""Defines scope and key elements of amended Annex provisions""}, {""testo"": ""(3) The following points 9, 10 and 11 are added: ‘9. Preparatory Action on Preparing the new EU GOVSATCOM programme: Regulation (EU, Euratom) 2018/1046 of the European Parliament and of the Council..."", ""layer"": ""L1"", ""motivo"": ""Adds new points defining scope and institutional references""}]","[{""start"": 1, ""end"": 104, ""label"": ""level_1"", ""reason"": ""Defines scope and key elements of amended Annex provisions""}, {""start"": 105, ""end"": 207, ""label"": ""level_1"", ""reason"": ""Defines scope and key elements of amended Annex provisions""}, {""start"": 208, ""end"": 306, ""label"": ""level_1"", ""reason"": ""Adds new points defining scope and institutional references""}]",100.0,0.0,0.0,0.0,0.0,L1,1_p1
32016R1013__1_p3,32016R1013,32016R1013,articolo,1_p3,ok,"[{""testo"": ""2. Member States shall provide the Commission (Eurostat) with a report on the quality of the data transmitted (“quality report”)."", ""layer"": ""L1"", ""motivo"": ""Establishes general obligation to provide quality report""}]","[{""start"": 1, ""end"": 20, ""label"": ""level_1"", ""reason"": ""Establishes general obligation to provide quality report""}]",100.0,0.0,0.0,0.0,0.0,L1,1_p3
32016R1013__1_p2,32016R1013,32016R1013,articolo,1_p2,ok,"[{""testo"": ""1. For the purpose of this Regulation, the quality criteria set out in Article 12(1) of Regulation (EC) No 223/2009 shall apply to the data to be transmitted in accordance with Article 5 of this"", ""layer"": ""L1"", ""motivo"": ""Defines applicable quality criteria and scope for data transmission""}]","[{""start"": 1, ""end"": 35, ""label"": ""level_1"", ""reason"": ""Defines applicable quality criteria and scope for data transmission""}]",100.0,0.0,0.0,0.0,0.0,L1,1_p2
32016R1013__1_p1,32016R1013,32016R1013,articolo,1_p1,ok,"[{""testo"": ""Article 1 Regulation (EC) No 184/2005 is amended as follows: (1) In Article 2, the following paragraph is"", ""layer"": ""L1"", ""motivo"": ""Empowers Commission to adopt delegated acts; defines scope and conditions""}, {""testo"": ""added: ‘3. The Commission is empowered to adopt delegated acts in accordance with Article 10 when, as a result of economic or technical changes, the geographical breakdown levels, institutional sec..."", ""layer"": ""L1"", ""motivo"": ""Delegation clause detailing conditions and limits on Commission's delegated powers""}, {""testo"": ""( *1 ) Regulation (EC) No 223/2009 of the European Parliament and of the Council of 11 March 2009 on European statistics and repealing Regulation (EC, Euratom) No 1101/2008 of the European Parliame..."", ""layer"": ""L1"", ""motivo"": ""References and legal basis for delegation; part of delegation framework""}]","[{""start"": 1, ""end"": 18, ""label"": ""level_1"", ""reason"": ""Empowers Commission to adopt delegated acts; defines scope and conditions""}, {""start"": 19, ""end"": 210, ""label"": ""level_1"", ""reason"": ""Delegation clause detailing conditions and limits on Commission's delegated powers""}, {""start"": 211, ""end"": 296, ""label"": ""level_1"", ""reason"": ""References and legal basis for delegation; part of delegation framework""}]",100.0,0.0,0.0,0.0,0.0,L1,1_p1
32016R1013__1_p4,32016R1013,32016R1013,articolo,1_p4,ok,"[{""testo"": ""3. In applying the quality criteria referred to in paragraph 1 to the data covered by this Regulation,"", ""layer"": ""L1"", ""motivo"": ""Defines application of quality criteria and scope of quality reports""}, {""testo"": ""the modalities, structure and periodicity of the quality reports shall be defined by the Commission by means"", ""layer"": ""L2"", ""motivo"": ""Specifies modalities, structure, periodicity via implementing acts and procedure""}]","[{""start"": 1, ""end"": 18, ""label"": ""level_1"", ""reason"": ""Defines application of quality criteria and scope of quality reports""}, {""start"": 19, ""end"": 35, ""label"": ""level_2"", ""reason"": ""Specifies modalities, structure, periodicity via implementing acts and procedure""}]",51.43,48.57,0.0,0.0,0.49970494161658435,L1,1_p4
32016R1013__1_p5,32016R1013,32016R1013,articolo,1_p5,ok,"[{""testo"": ""4. The Commission (Eurostat) shall assess the quality of the data transmitted on the basis of an appropriate"", ""layer"": ""L4"", ""motivo"": ""Assessing quality based on analysis of reports is supervisory control""}, {""testo"": ""analysis of the quality reports, with the assistance of the European Statistical System Committee referred to in Article 11(1), and shall prepare and publish a report on the quality of European sta..."", ""layer"": ""L4"", ""motivo"": ""Preparing, publishing, and submitting quality report is monitoring and enforcement""}]","[{""start"": 1, ""end"": 18, ""label"": ""level_4"", ""reason"": ""Assessing quality based on analysis of reports is supervisory control""}, {""start"": 19, ""end"": 70, ""label"": ""level_4"", ""reason"": ""Preparing, publishing, and submitting quality report is monitoring and enforcement""}]",0.0,0.0,0.0,100.0,0.0,L4,1_p5
