cluster_id,layer_rank,layer_name,layer_description,n_segments,repr_descriptions,llm_status
4,1,Scope and applicability provisions,"These provisions delimit when and to whom the act or rule set applies, often by defining covered subjects, domains, activities, or exceptions. They do not primarily prescribe substantive conduct; rather, they set the operational boundaries within which the rest of the instrument functions.",292,"[""Defines one item within a closed list of statistical categories, thereby delimiting the scope of the rule that follows and identifying the specific reporting domain to which the amendment applies. It operates at a very granular level, functioning as a technical classification element rather than a broad organizing principle."", ""Defines one item within a list of statistical domains covered by the amending measure, thereby delimiting the scope of the provision’s application. It operates at a fairly specific, technical level, functioning as a narrow classificatory detail rather than a broad rule of principle."", ""Defines one item within a closed list of statistical subject areas, thereby delimiting the scope of the amendment and identifying a specific category to which the rule applies. It operates at a highly technical, narrow level, functioning as a precise classificatory detail rather than a general principle or institutional rule."", ""Operative dissemination clause imposing a publication duty on the designated statistical authority and specifying the medium and timing by reference to the annexed schedule. It sits at a practical, implementation-focused level: not a broad principle, but a concrete rule that ensures the output of the framework is made publicly accessible in a prescribed way."", ""Introductory provision that identifies the subject-matter and delineates the reach of the act, thereby framing which situations and processing activities fall within its internal rule set. It operates at a high level of abstraction, not by prescribing concrete conduct, but by setting the boundary conditions for the rest of the decision."", ""Operative provision that both sets the Commission’s procedural duties for informing individuals and establishes the conditions under which specified rights may be limited, while also cross-referencing the higher-ranking rules that supply the substantive basis for those duties and restrictions. It sits at an intermediate-to-specific level: not a broad policy statement, but a framework-setting rule that governs a defined administrative context and channels later action through prescribed conditions."", ""Scope clause extending the Decision’s internal rules to a defined category of processing carried out by the Commission when performing tasks linked to the referenced framework — it functions as an applicability rule that connects the act to a specific institutional activity. The norm sits at a relatively concrete level: it does not create the underlying duties itself, but confines the Decision’s reach to a particular operational context within the broader regime."", ""Operative provision identifying the circumstances in which the general rights regime is displaced and a more limited treatment applies, thereby carving out the scope of the decision’s practical effect. It sits at a mid-to-high level of specificity: not a broad principle, but a framework-setting rule that channels how the rest of the act is to be applied in concrete cases."", ""Operative safeguard clause directing the Commission, when handling individuals’ rights, to assess whether any statutory exception is available before acting. It sits at a fairly specific implementation level, translating a general rights-protection framework into a concrete decision step for a particular institutional context."", ""Introductory operative provision identifying the subject-matter of the following rules and signalling that the act will regulate how information is to be given in this specific context. It sits at a relatively high structural level within the decision, but remains more concrete than a general principle because it frames a distinct operational area rather than setting a detailed procedure itself.""]",ok
1,2,Empowering and enabling provisions,"These provisions grant a specific institution or Member State a conditional legal power to act, usually subject to substantive or procedural safeguards set elsewhere in the act. They sit above detailed operational rules but below general principles, functioning as the legal gateway that authorises particular measures, requests, deadlines, or decisions.",38,"[""Empowerment clause authorising the Commission to limit the rights and obligations listed earlier, but only within the boundaries set by the subsequent articles that condition and structure that power. It operates at an intermediate level of abstraction: not a general principle for the whole act, but a rule that opens the door to specific restrictive action under defined safeguards."", ""Discretionary procedural empowerment allowing the authority to prolong previously fixed deadlines, but only where the party under investigation submits a reasoned request before the original period expires. It operates at a fairly technical, case-specific level, implementing a narrow adjustment mechanism within the broader timetable rather than laying down a general rule of substance."", ""Empowerment clause granting the Commission a conditional procedural power to request further material from information providers, while expressly preserving the operation of other specified provisions. It sits at an intermediate, operational level: not a broad principle, but a targeted rule that organises how the procedure can be carried forward in a defined evidentiary context."", ""Procedural empowerment clause authorising the Commission to require a non-confidential version of previously submitted documents when it needs to apply the preceding confidentiality-related rules. It operates at a fairly technical, case-specific level, implementing a narrow step within the broader procedural framework rather than laying down a general principle."", ""Empowerment clause authorising the Commission to issue a formal opinion when it assesses that a planned or completed investment is likely to affect Union-interest projects or programmes on security or public-order grounds. It operates at an intermediate, case-triggered level: not a general principle, but a targeted procedural power that activates only when a specific risk assessment is made."", ""Empowerment clause authorising the Commission to update, by delegated act, the catalogue of projects and programmes that qualify as being of Union interest, thereby keeping the framework adaptable to changing policy priorities. It operates at an intermediate, structural level: not a broad principle, but a targeted rule that allocates a specific regulatory maintenance task within the overall scheme."", ""Empowerment clause that authorises a Member State to begin formal negotiations with a third country, while tying that permission to the procedural conditions laid down elsewhere in the act. It operates at an intermediate, operational level: not a broad policy statement, but a rule that structures a specific institutional step within the transitional regime."", ""Empowerment clause conferring a conditional authority to sign and conclude a bilateral agreement, thereby opening a legally regulated route for action where the prescribed prerequisites are met. It operates at an intermediate, structural level: more specific than a general policy statement, but still framing institutional competence rather than laying down the detailed mechanics of the agreement itself."", ""Empowerment clause conferring a corrective intervention power on the Commission, allowing it to impose measures aimed at remedying an actual or potential market distortion, while also signalling an alternative route where commitments are accepted instead. It operates at an intermediate, operational level: not a general statement of purpose, but a rule that activates a concrete remedial tool in a defined enforcement situation."", ""Empowerment clause authorising the Commission to attach reporting and transparency obligations, including periodic updates on how agreed commitments and corrective measures are being carried out. It operates at an intermediate, operational level: not a general principle, but a targeted procedural tool that supports enforcement in a specific remedial context.""]",ok
2,3,Delegation and empowerment clauses,"These provisions allocate regulatory or implementing power to the Commission or another institution, allowing the legal framework to be supplemented, updated, or operationalised within defined limits. They typically set the scope, conditions, duration, and procedural framework for that delegated authority rather than regulating the underlying substantive obligations directly.",32,"[""Delegating clause conferring on the Commission the power to specify, through implementing acts, the modalities, structure, and periodicity of quality reports, while also cross-referencing the procedural rule for adopting those acts. It operates at an intermediate, institutional level: it does not set the substantive quality criteria themselves, but organises how a technical reporting requirement is to be concretised and applied."", ""Delegation clause conferring a conditional power to prolong an existing reporting deadline through delegated acts, while simultaneously attaching substantive constraints and a duty of justification to the exercise of that power. It sits at an intermediate, structural level: more specific than a general enabling provision, but still above the technical implementation of the deadline itself, because it regulates when and how the extension mechanism may be used."", ""Delegation clause conferring on the Commission the authority to adopt supplementary acts, while making that authority conditional on the safeguards and limits set out in the same article. It operates at an intermediate, structural level: not a substantive rule itself, but an enabling provision that organises how the framework may be completed and adjusted within defined boundaries."", ""Delegation clause conferring on the Commission the authority to adopt delegated acts under two specified provisions, while also time-limiting that empowerment to a five-year period from a fixed starting date. It operates at an intermediate, structural level: not a broad principle, but a competence-allocation rule that organises how the framework may be supplemented in a defined area."", ""Oversight and renewal clause requiring the Commission to prepare a report on the delegated authority before the initial term expires, while also setting the default rule for automatic continuation unless either co-legislator objects within a fixed window. It operates at an intermediate, institutional level: not a substantive rule for regulated actors, but a structural mechanism governing the lifespan and continuation of delegated rule-making powers."", ""Delegation clause conferring on the Commission a power to adopt delegated acts, while tying that power to the conditions and safeguards set out in the same article. It operates at an intermediate, institutional level: not a broad policy statement, but a structural rule that organises how supplementary norm-making authority may be exercised within the framework."", ""Delegation clause conferring on the Commission an open-ended authority to adopt supplementary acts under a specified provision, thereby enabling the framework to be updated or completed without reopening the basic act. It sits at an institutional and enabling level: more specific than the general policy architecture, but still structural rather than a technical rule for a single case."", ""Delegating provision that assigns the task of specifying common quality standards and the form and timing of quality reports to a further rule-making procedure, while also setting the criteria that must be weighed in doing so and providing for subsequent assessment by the Commission with committee assistance. It operates at an intermediate, structural level: more specific than a general policy statement, but still framing how a technical quality-control mechanism is to be completed and applied."", ""Delegating clause authorising the adoption of implementing measures to keep the framework aligned with changing economic and technical conditions, while also identifying the subject-matter of those updates by reference to definitions and data requirements. It sits at an intermediate, operational level: more specific than a general enabling provision, but still broad enough to govern recurring adjustments across the scheme rather than a single isolated case."", ""Delegating clause that authorises the Commission to choose and formalise one of the listed measures through an implementing decision, either within the main decision or separately. It operates at an intermediate, institutional level: not a broad principle, but a procedural-structural rule that channels how a specific enforcement power may be exercised in a defined case.""]",ok
6,4,Scope-limiting exceptions,"These provisions function as narrow carve-outs that qualify, limit, or suspend the operation of a general rule in specific circumstances. They do not establish the main normative regime themselves; instead, they delimit its reach through exclusions, derogations, cross-references, and temporal or conditional constraints.",27,"[""Exception clause identifying a specific circumstance in which the ordinary rights and obligations may be curtailed because their exercise would undermine external cooperation on screening matters. It operates at a narrow, case-specific level, implementing a targeted limitation within a broader restriction regime rather than laying down a general principle."", ""Exception clause carving out a limit to the non-application rule by requiring a balancing test: where the individual’s interests or fundamental rights prevail, the exemption cannot be relied on. It operates at a fairly specific, operational level, fine-tuning how the broader restriction mechanism works in a particular conflict-of-interests scenario rather than setting the general framework itself."", ""Carve-out clause preserving the application of other specified rules and competences, ensuring that the preceding paragraphs do not override those external norms. It operates at an intermediate, structural level: not creating a new obligation itself, but delimiting the reach of the article by cross-referencing higher or parallel provisions."", ""Exception clause qualifying the information duty by allowing disclosure of the reasons for a restriction to be postponed, withheld, or refused where disclosure would defeat the restriction’s purpose. It operates at a fairly specific, operational level, supplying a narrow safeguard that calibrates how the general duty to inform is applied in concrete cases."", ""Exclusion clause delimiting the scope of the procedural right of access by carving out categories of material that remain outside disclosure. It operates at a fairly technical, implementation-focused level, refining a general procedural entitlement through a narrow limitation rather than setting a broad governing principle."", ""Exclusion clause carving out a specific category of materials from the disclosure regime, thereby limiting the scope of what may be obtained or relied upon in the proceedings. It operates at a narrow, technical level, implementing a detailed evidentiary boundary within a broader procedural framework."", ""Exclusion clause identifying a category of communications that falls within the confidentiality/procedural handling regime, thereby delimiting the scope of the rule on exchanges of information. It operates at a fairly specific, operational level, carving out a concrete class of correspondence within the broader framework rather than laying down a general principle."", ""Transitional exclusion clause carving out completed transactions from the reach of this Article, thereby delimiting its temporal scope and preventing retroactive application. It operates at a narrow, implementation-focused level: a specific temporal rule that qualifies when the Article can be invoked, rather than setting any general principle for the framework."", ""Exception clause authorising the exchange of confidential information between two institutions, but only where that exchange is needed to secure consistency between two related sets of figures; it also operates as a cross-reference overriding a prior confidentiality rule. Its abstraction level is fairly specific and operational, since it does not lay down a general principle but instead permits a narrowly conditioned departure from the default rule in a defined institutional context."", ""Exception clause excluding a case from the otherwise available authorisation pathway where the Commission has already initiated, or chosen to initiate, the relevant negotiation process with the third country concerned. It operates at a fairly technical, case-specific level, carving out a narrow procedural consequence rather than laying down a general principle for the whole framework.""]",ok
0,5,Incorporation by reference clauses,"These provisions do not usually establish standalone substantive rules; instead, they hook an internal rule to another legal instrument, decision, or procedure. Their normative role is to delimit, extend, condition, or coordinate the application of the surrounding rule by importing or aligning it with an existing framework.",73,"[""Cross-referencing clause that identifies the external legal basis governing the referenced item and signals that its treatment is to be read in light of that separate instrument, rather than creating a standalone rule. It operates at a fairly technical, implementation-oriented level, because it does not lay down a general principle but instead anchors one listed element within a specific pre-existing legal regime."", ""Cross-referencing clause that ties the operative rule to the cooperation mechanism already established elsewhere, thereby delimiting the scope of the internal rules by reference to an external framework. It sits at a very specific, technical level, functioning as a contextual qualifier rather than laying down an autonomous rule of general application."", ""Cross-reference clause identifying the external substantive provisions whose application is being limited or adapted, thereby anchoring the internal rule to an existing rights framework. It operates at a highly technical, narrow level, serving as a precise reference point within a specific exception mechanism rather than laying down a general rule."", ""Cross-referencing clause that identifies a specific external principle and limits its relevance to the extent that it matches particular rights and duties listed in another instrument, thereby narrowing the scope of the internal rule. It operates at a fairly technical, implementing level: not a general statement of policy, but a precise linkage that calibrates when the referenced principle applies within the broader framework."", ""Cross-referencing clause that identifies a specific external legal basis under which the same rights may already be curtailed by another authority, thereby delimiting when the internal restriction mechanism may operate. It is highly specific and conditional, functioning as a technical gateway rule that applies only where a comparable restriction could lawfully arise under the referenced measures."", ""Cross-referencing clause that excludes or preserves the operation of other internal Commission decisions, thereby coordinating this rule with a separate set of internal measures and avoiding overlap or conflict. It sits at a fairly technical, implementation-oriented level, because it does not create a new obligation itself but specifies how this provision interacts with an existing regulatory layer in a narrow institutional context."", ""Cross-reference clause identifying the procedural source whose provisions are incorporated by reference, thereby anchoring the decision’s internal rule to an existing institutional text. It operates at a narrow, technical level, serving as a specific linkage within the framework rather than laying down an autonomous rule of general scope."", ""Cross-reference clause that identifies additional decision types and provisions to which the surrounding procedural rule also applies, thereby extending the reach of the operative mechanism beyond the immediately named case. It sits at a fairly technical, mid-to-low level of abstraction: not a general principle, but a precise coordination device that plugs specific legal acts into an existing procedural architecture."", ""Cross-reference clause that identifies an alternative legal basis or triggering decision by linking this procedural rule to another provision and to a prohibitory outcome under the parent act. It operates at a narrow, technical level, serving as an interpretative and routing device within a specific procedural context rather than laying down any general rule."", ""Cross-referencing clause that creates a conditional permission for a provider to authorise broader use of information already obtained under the parent framework, thereby modifying the default limits on use. It operates at a fairly specific, procedural level: not a general principle, but a targeted rule that activates only when the provider gives consent and only for information gathered under the referenced regime.""]",ok
10,6,Procedural coordination and consultation clauses,"These provisions organise how institutions and authorities interact within the regulatory framework, especially by routing consultation, information-sharing, and observations through designated channels. They do not set substantive obligations or outcomes; instead, they structure decision-making, cooperation, and oversight by cross-referencing external procedural regimes and requiring due consideration of input from other bodies.",29,"[""Institutional coordination clause identifying the body that assists the Commission and classifying it under the general committee procedure regime, thereby linking this act to an external procedural framework. It operates at an intermediate, structural level: not a substantive rule for the regulated field itself, but an organisational provision that determines how decision-making support is channelled within the system."", ""Procedural coordination clause requiring the Commission to seek an opinion from a designated committee whenever a matter falls within that committee’s remit, and cross-referencing the separate decision that governs how that consultation must occur. It operates at an intermediate, institutional level: not a broad principle, but a structural rule that organises inter-body cooperation in a defined class of cases."", ""Procedural coordination clause guiding the Commission’s choice by requiring it to give special weight to compliance with the referenced committee procedure, thereby linking the handling of commitments to an external institutional rule. It operates at a fairly specific, operational level: not a general principle, but a targeted instruction that conditions decision-making in a particular procedural context."", ""Procedural coordination clause enabling the European Parliament to summon the Commission before the competent committee to present and explain systemic implementation issues, thereby creating an accountability and information channel within the institutional framework. It operates at a relatively specific, operational level: not laying down substantive rules, but arranging how oversight and dialogue function in practice when broader implementation concerns arise."", ""Cooperative procedural clause enabling one authority to submit observations to another when a cross-border screening may implicate its security or public order, while also imposing parallel notification duties on the Commission. It operates at an intermediate, operational level: not a broad principle, but a concrete coordination mechanism that activates in a defined situation and structures inter-institutional communication."", ""Obligatory coordination clause requiring the screening authority to take account of inputs from peer authorities and the central institution before concluding the review; it structures the decision-making process without itself dictating the outcome. It sits at an intermediate, operational level: more specific than the framework’s general principles, but still procedural and applicable across all cases where such inputs are received."", ""Coordination clause routing the exchange of information and interaction under this article through designated contact points, thereby organising how the competent authorities communicate and channel cooperation. It operates at an intermediate, structural level: not a broad principle, but a procedural linkage that implements the framework’s cooperation mechanism in a specific institutional form."", ""Procedural coordination clause that authorises one authority to submit observations to another when a cross-border investment may affect protected interests or when it holds relevant information, while also imposing notification duties on the Commission and the receiving authorities. It operates at an intermediate, operational level: not a broad principle, but a mechanism for information-sharing and intergovernmental interaction within a specific cross-border scenario."", ""Obligatory coordination clause requiring the host Member State to take account of inputs from peer authorities and the central institution when assessing a planned or completed transaction. It operates at an intermediate, system-organising level: not a broad principle, but a concrete procedural rule that shapes how the screening process must be conducted in a specific case."", ""Cooperation clause imposing a best-efforts obligation to supply supplementary information, and directing that it be shared with the relevant counterparts and the central institution without undue delay. It operates at an operational level: a concrete procedural rule that fine-tunes information exchange within the broader framework, rather than laying down a general principle or a detailed technical threshold.""]",ok
8,7,Procedural safeguards and confidentiality,"This cluster consists of operational, case-specific provisions that structure how enforcement or investigative procedures are carried out, especially by setting conditions, time limits, correction opportunities, disclosure duties, and participation rights. Their common hierarchical function is to protect procedural fairness and controlled access to information within a broader regulatory framework, rather than to state general principles or substantive rules.",40,"[""Procedural safeguard clause governing the entry into force of delegated measures, by making their effectiveness conditional on the absence of objection from the political institutions within a fixed review period and allowing that period to be extended. It operates at an intermediate, institutional level: not a broad principle, but a concrete control mechanism that structures how a specific category of subordinate acts becomes legally operative."", ""Procedural safeguard clause creating an alternative channel for exercising access rights when direct access has been restricted, and cross-referencing the applicable supervisory procedure in another instrument. It operates at a fairly specific, operational level: not a general principle, but a targeted mechanism that activates only in the restricted-access scenario and only for the particular right concerned."", ""Procedural safeguard requiring that a copy of documentation created during the inspection be disclosed to the affected undertaking or association after the inspection has taken place. It operates at a narrow, operational level, implementing a specific transparency and fairness step within the broader enforcement procedure rather than laying down a general principle."", ""Procedural safeguard governing the treatment of explanations given by an unauthorised staff member: it requires the authority to open a correction window for the undertaking or association to amend those statements, and then to incorporate any amendments into the recorded file. It operates at a fairly technical, case-specific level, implementing a narrow procedural rule that manages the evidentiary record in a particular situation rather than laying down a general principle."", ""Procedural safeguard provision that triggers the right to respond once the Commission discloses the grounds for its intended decision, while also fixing the minimum period for written observations and excluding late submissions from mandatory consideration. It operates at a highly specific, implementation-focused level, translating a broader right to be heard into a precise time-bound rule for a particular stage of the proceedings."", ""Procedural safeguard provision establishing how sensitive information must be identified and shielded during the conduct of proceedings, thereby balancing transparency with the protection of legitimate secrecy interests. It operates at an operational level: more specific than the framework’s general principles, but still broad enough to govern all cases in which confidential material may arise within the procedure."", ""Confidentiality safeguard that restricts disclosure and access to information, while expressly carving out exceptions and preserving a further paragraph-based limitation; it functions as a protective rule governing the handling of sensitive material within the procedure. It sits at an operational level: specific and case-bound, implementing a narrow procedural constraint rather than laying down a general principle for the whole framework."", ""Procedural safeguard clause imposing an information-duty on the Commission when it seeks information, conducts interviews, or requests oral explanations, and linking that disclosure to a consent-based access consequence for the material provided. It operates at a fairly specific, operational level: not a general principle, but a targeted rule governing how a particular investigative step must be handled and what legal effect follows from participation."", ""Confidentiality-determination rule specifying one of the purposes for which the Commission may use or assess submitted material, namely to identify which persons are covered by confidentiality protection. It operates at a fairly technical, case-specific level, implementing a narrow procedural safeguard within the broader conduct-of-proceedings framework."", ""Procedural confidentiality safeguard that obliges the authority to solicit and assess claims of secrecy before publication, while also imposing a reasoned justification duty on the undertaking under investigation. It operates at a fairly technical, implementation-focused level, translating a broader transparency regime into a narrow pre-publication step for specific documents.""]",ok
7,8,Operational flexibility and derogation clauses,"These provisions grant targeted discretionary powers to depart from the default procedural rule in individual cases, such as waiving disclosure duties, extending deadlines, or accepting late submissions. They function as exception mechanisms that soften rigid requirements while preserving the general framework and its normal operation.",66,"[""Consultation-and-exception clause that conditions the Commission’s use of the restriction by requiring prior engagement with the relevant institutions or national authorities, while carving out an exception where another cited act already clearly authorises the restriction. It operates at a fairly detailed, procedural level, implementing a narrow safeguard within the broader internal rules rather than laying down a general principle."", ""Discretionary waiver clause conferring on the Commission the power to relieve a notifying party, on written request, from specified disclosure obligations in the notification form, including supporting documents and related requirements. It operates at an operational, case-specific level, fine-tuning the general reporting regime by allowing exceptions in individual situations rather than laying down a broad rule for the whole framework."", ""Discretionary exemption clause empowering the Commission to relieve a notifying party, on written request and with notice to the relevant procurement authority, from specified disclosure obligations in the notification form. It operates at a fairly granular, procedural level: a targeted exception to the general information-submission requirements, applicable only in the particular case where the Commission chooses to waive them."", ""Discretionary extension clause conferring a limited power on the Commission to prolong a previously fixed deadline where justification is shown — it functions as an exception mechanism that modifies the ordinary time limit. It sits at a fairly specific, operational level, fine-tuning the procedure in particular cases rather than laying down a general organising principle."", ""Discretionary exception clause allowing the authority to accept late commitments despite a missed deadline, while directing it to weigh a specific procedural safeguard before doing so. It operates at an operational, case-specific level: not a general principle, but a narrow flexibility rule that tempers a strict time limit in exceptional situations."", ""Exception-based procedural flexibility clause allowing the authority to accept commitments submitted after the ordinary deadline, thereby modifying the strict timing rule in narrowly defined cases. It operates at a highly specific, operational level, fine-tuning the conduct of proceedings rather than laying down any general principle."", ""This clause preserves and cross-refers to higher-ranking Treaty-based competences, carving out that the Regulation does not displace Member States’ retained authority in matters of security and essential interests. It operates at a very high level of abstraction, functioning as a constitutional-style limitation on the reach of the instrument rather than as a technical rule for individual cases."", ""Discretionary and, in one case, mandatory intervention clause that authorises the central institution to issue an opinion to the screening authority when a cross-border risk or relevant information is present, while also requiring action once a specified collective trigger is met; it additionally imposes a notification duty to the other participating authorities. The provision sits at an intermediate, coordinating level: it does not define the underlying risk concept, but it structures how institutional input is channelled and when the power must be exercised."", ""Discretionary review clause empowering the Commission to examine notified agreements against a specified policy criterion and to use that assessment as a basis for steering their gradual replacement. It operates at an intermediate, framework-shaping level: not a mere technical detail, but a targeted supervisory mechanism that conditions how the transitional regime is managed without itself imposing an automatic outcome."", ""Discretionary supervisory clause empowering the Commission to indicate remedial measures to be taken by the Member State after consultations, thereby steering compliance without itself imposing the remedy. It operates at an intermediate, procedural level: more specific than a general enabling rule, but still framed broadly enough to govern a recurring institutional response rather than a single technical case.""]",ok
9,9,Procedural notification and reporting clauses,"These provisions sit at an operational level of the hierarchy and primarily regulate how information must be communicated, circulated, or made public within the framework. They do not set substantive standards; instead, they implement the system through concrete duties of notice, transmission, disclosure, and reporting that enable oversight and coordination.",38,"[""Notification clause imposing an immediate institutional communication duty once a delegated act is adopted, thereby ensuring transparency and enabling the other institutions to exercise their oversight functions. It is a procedural, highly specific rule at an operational level, addressing a narrow step in the lifecycle of a delegated measure rather than setting any substantive standard."", ""Informational clause requiring that the person be told about available avenues for challenging the measure, thereby safeguarding procedural accountability and access to oversight. It is a concrete operational rule, narrowly tailored to a specific notification content within the broader regime rather than a general principle of the framework."", ""Notification rule requiring the authority to warn external information providers that the material they submit may later be disclosed under a separate access regime. It operates at a fairly technical, case-specific level, implementing a procedural safeguard within the broader information-handling framework rather than laying down a general principle."", ""Notification obligation requiring Member States to inform the Commission of pre-existing screening mechanisms by a fixed deadline, thereby enabling transparency and coordination within the framework. It operates at an intermediate, administrative level: not a broad principle, but a concrete procedural rule that supports the system’s functioning through a one-time reporting duty."", ""Notification obligation requiring Member States to inform the Commission whenever they introduce or amend a screening mechanism, and to do so within a fixed 30-day period. It is an operational compliance rule at a fairly specific level, implementing the framework’s information-sharing architecture through a precise procedural deadline."", ""Publicity and maintenance clause requiring the Commission to publish, within a fixed deadline, an official list of national screening mechanisms and to keep it current. It operates at an operational level, translating the notification system into an administrative transparency duty with a narrow, technical function rather than laying down any broad substantive rule."", ""Notification rule imposing an information-sharing duty on the screening authority and, where relevant, a duty to flag the possible relevance of another regime; it also cross-references the required content of the notice and allows an optional identification of affected peers. It operates at an operational, mid-level of abstraction: not a general principle, but a concrete procedural mechanism that activates whenever a screening is underway."", ""Ancillary procedural clause allowing the notifying party to bundle a request for supplementary information with the notification itself, thereby shaping how the information-gathering phase is initiated and managed. It operates at a fairly technical, implementation-oriented level, refining the mechanics of the procedure rather than laying down any broad substantive rule."", ""Procedural transmission rule requiring that the Commission’s opinion be circulated to the other Member States, thereby ensuring institutional awareness and coordinated follow-up within the screening process. It operates at an operational level: not a broad principle, but a concrete step that implements the consultation architecture in a specific procedural sequence."", ""Ancillary disclosure rule that specifies the minimum content of the information package to be provided under the preceding paragraph, thereby operationalising the broader notification mechanism. It sits at a relatively low level of abstraction, as it does not create the duty itself but narrows it into a concrete list of required elements for a particular procedural step.""]",ok
3,10,Implementation and reporting duties,"This cluster covers operational provisions that translate the legal framework into concrete administrative action: data transmission, quality assessment, methodological coordination, pilot studies, and related notifications. Their normative role is to structure ongoing implementation, monitoring, and accountability without setting the act’s overarching objectives or substantive rules.",53,"[""Operative reporting obligation requiring Member States to submit a quality report to the designated central authority, thereby enabling oversight and assessment of the reliability of transmitted data. It sits at a fairly specific, implementation-focused level: not a general principle, but a concrete procedural duty attached to the data transmission regime."", ""Operative monitoring-and-reporting clause assigning the Commission a duty to evaluate the quality of transmitted data, draw on an advisory committee, and produce and publish an overall quality report for the statistics covered by the act. It sits at an intermediate, implementation-focused level: more specific than the framework’s general objectives, but still shaping ongoing oversight and accountability across the whole regime rather than regulating a single isolated case."", ""Operative reporting obligation requiring Member States to inform the Commission of significant methodological or other changes affecting transmitted data within a fixed three-month window, and a corresponding notification duty for the Commission toward the legislature and other Member States. It sits at a highly specific, technical level, implementing the framework’s information-management mechanics rather than laying down a general principle."", ""Organisational rule structuring the reporting architecture by requiring the statistics to be arranged into specified data flows before transmission to the central authority. It operates at an intermediate, implementation-oriented level: not a broad principle, but a procedural design feature that channels how an existing reporting obligation must be carried out."", ""Cooperative mandate assigning the Commission and Member States, together with external partners, the task of developing a statistical methodology and thereby enabling a more refined mode of compilation under the framework. It operates at an intermediate, implementation-oriented level: not a broad principle, but a targeted technical instruction that shapes how a specific category of data is to be produced and differentiated."", ""Operative mandate requiring the Commission to launch pilot studies through Member States by a fixed deadline, while also defining the studies’ purpose as preparatory fact-finding for possible future data collections and cost/quality assessment. It sits at a fairly specific, implementation-oriented level: not a general principle, but a targeted transitional measure that sets out a concrete step to support later methodological and administrative choices."", ""Reporting obligation requiring the Commission to compile and present the results of specified studies by a fixed deadline, thereby creating an accountability and review mechanism within the act. It is a narrow operational rule at a low level of abstraction, addressing a single follow-up step rather than laying down a general principle for the whole framework."", ""Operative rule assigning a quality-assessment task to the competent authority, requiring it to evaluate the reliability of the relevant data sets as part of the statistical process. It sits at a practical, implementation-focused level: specific enough to direct a concrete administrative activity, but still framed as a general duty within the broader reporting framework."", ""Sets a substantive evaluative criterion requiring that the production of the statistics be judged by balancing the benefits for public authorities and information users against the costs involved. It operates at an intermediate, operational level: not a broad guiding principle for the whole act, but a specific rule that informs how the statistical programme is to be assessed in practice."", ""Operative reporting obligation requiring Member States to submit an annual quality report, while also incorporating by reference the detailed drafting rules contained in the Annex. It sits at a practical, implementation-oriented level: it does not set the substantive quality criteria itself, but activates a recurring compliance duty and channels its form through a more technical instrument.""]",ok
